CustomerID,CreditScore,Age,TenureMonths,Balance,NumOfProducts,HasCreditCard,IsActiveMember,MonthsInactive,DependentCount,EstimatedSalary,Geography,Gender,EducationLevel,MaritalStatus,CustomerChurn
100103,700,66,3,2119,3,1,1,11,1,68577,Spain,Female,Master,Married,No
100104,653,23,137,16530,2,0,1,6,2,83582,France,Male,High School,Divorced,No
100105,620,65,87,14001,3,1,1,8,0,79774,Spain,Male,Bachelor,Married,No
100106,805,73,16,41089,3,1,1,5,1,67543,Germany,Female,High School,Married,Yes
100107,811,29,51,1099,2,1,1,5,3,62961,France,Female,High School,Single,No
100108,564,68,133,36758,3,1,1,1,4,52062,France,Female,High School,Married,No
100109,601,54,68,24860,4,0,0,6,4,57710,France,Female,PhD,Married,Yes
100110,539,34,136,43034,1,1,1,1,0,74547,Germany,Female,Bachelor,Single,No
100111,645,40,20,60603,4,1,1,6,4,67691,France,Female,High School,Single,Yes
100112,562,43,23,50269,4,1,1,7,4,78075,France,Female,PhD,Married,Yes
100113,557,46,3,208814,4,1,1,11,4,49614,Germany,Male,Bachelor,Married,No
100114,586,50,151,7440,3,1,0,0,3,81672,Spain,Male,Master,Married,Yes
100115,687,44,2,28083,2,0,1,8,4,47631,Spain,Male,Master,Divorced,No
100116,716,42,67,27655,3,1,1,7,2,64056,Spain,Female,Master,Married,No
100117,402,73,100,26983,1,1,1,8,0,48762,France,Male,High School,Single,No
100118,629,72,167,54502,3,1,1,4,0,58031,Germany,Female,PhD,Married,No
100119,759,27,175,33650,3,1,1,3,0,100676,France,Male,High School,Married,No
100120,566,64,53,36432,3,1,0,0,3,70187,Germany,Male,Bachelor,Married,No
100121,601,40,34,28313,3,1,1,8,3,64504,France,Female,Master,Married,No
100122,537,38,55,239572,4,1,1,3,4,88239,Germany,Male,High School,Single,No
100123,729,38,107,131251,2,1,0,3,2,8706,France,Female,Bachelor,Single,No
100124,842,60,39,18389,1,0,0,3,4,56824,Germany,Male,Bachelor,Married,No
100125,390,30,67,5916,1,0,1,1,0,50006,Germany,Female,High School,Single,No
100126,506,54,45,91556,1,1,1,11,2,42849,Spain,Female,High School,Married,No
100127,364,50,77,293378,3,1,1,10,0,29427,Spain,Female,Master,Married,No
100128,650,41,140,17309,1,1,1,3,2,55618,France,Female,High School,Single,No
100129,414,61,154,22142,4,0,0,1,1,73870,Germany,Male,Master,Married,No
100130,694,28,5,142050,2,1,1,7,3,57062,Spain,Female,Bachelor,Married,No
100131,676,34,16,62089,3,0,0,6,3,75978,Spain,Male,Bachelor,Single,Yes
100132,358,21,163,17523,3,1,1,10,0,61430,Spain,Male,Master,Married,Yes
100133,693,64,98,43500,4,0,0,9,0,83323,France,Male,Bachelor,Married,No
100134,478,42,80,144326,1,1,0,1,1,49944,Germany,Female,Bachelor,Married,No
100135,841,47,1,83516,3,0,1,1,4,22547,Germany,Female,High School,Married,No
100136,485,26,76,67707,3,0,0,1,2,28393,Spain,Female,Bachelor,Married,No
100137,821,38,179,66779,4,1,1,0,1,50045,Spain,Female,Bachelor,Single,No
100138,412,37,65,9802,4,0,0,5,1,42397,France,Male,High School,Married,No
100139,488,36,51,87057,1,1,0,5,0,48190,France,Female,Bachelor,Married,Yes
100140,848,36,91,16156,2,1,0,0,0,82774,France,Female,Bachelor,Married,Yes
100141,430,29,170,133226,2,0,1,10,4,29978,Spain,Male,Master,Single,No
100142,741,54,21,22678,1,1,0,0,4,90163,Spain,Male,Bachelor,Single,No
100143,512,59,110,97477,2,1,0,5,0,43884,France,Female,Master,Married,Yes
100144,768,34,106,15478,4,1,1,10,3,35120,Germany,Male,Bachelor,Single,No
100145,638,54,66,36132,4,1,0,5,4,57233,Germany,Female,Master,Married,No
100146,728,71,139,5652,4,0,1,3,1,89980,Spain,Female,Bachelor,Married,No
100147,610,65,68,53958,2,0,1,2,0,45754,Spain,Male,Bachelor,Married,No
100148,839,56,83,90419,2,0,0,8,2,47981,Germany,Female,Bachelor,Single,Yes
100149,580,45,102,63372,3,1,1,5,2,49317,Germany,Male,Bachelor,Single,No
100150,390,58,38,37039,3,1,1,0,3,83001,France,Male,Master,Single,No
100151,377,52,12,2308,3,0,1,2,0,51077,France,Male,High School,Married,Yes
100152,484,64,40,135483,2,1,1,0,1,68924,France,Female,High School,Divorced,No
100153,550,65,56,61122,3,0,1,2,3,62412,France,Female,Master,Single,No
100154,677,35,11,68494,4,1,0,1,1,57800,Spain,Female,Bachelor,Married,Yes
100155,617,31,12,79159,2,0,1,4,2,50027,Spain,Male,High School,Single,No
100156,767,52,119,68865,1,0,1,2,1,99380,Germany,Female,Bachelor,Married,No
100157,382,61,96,29091,2,1,1,6,2,115841,France,Female,Bachelor,Married,Yes
100158,397,58,56,66142,3,0,1,7,4,42331,Germany,Male,Bachelor,Single,No
100159,756,24,39,49045,2,1,1,6,2,38572,Spain,Male,Master,Married,Yes
100160,411,58,117,96213,3,1,0,1,2,60816,Spain,Male,Bachelor,Married,No
100161,565,30,79,81091,3,1,1,9,3,14540,Germany,Female,Bachelor,Single,Yes
100162,642,35,127,2113,1,1,0,9,3,60966,Germany,Male,Master,Single,No
100163,448,54,172,23812,1,1,1,6,0,100144,Germany,Male,Master,Single,No
100164,521,30,34,1767,4,1,1,9,0,48022,France,Male,High School,Married,No
100165,709,53,2,5383,3,1,0,2,2,81609,Germany,Female,Bachelor,Divorced,No
100166,563,48,119,45991,2,1,1,6,4,89387,France,Female,Bachelor,Single,No
100167,824,19,4,103503,1,1,1,0,0,42768,France,Male,Master,Married,No
100168,384,33,10,6382,1,1,1,1,2,63566,France,Male,Master,Single,Yes
100169,798,26,125,29991,3,1,0,11,3,67082,Spain,Female,Bachelor,Single,Yes
100170,576,26,70,120888,2,1,1,9,0,74578,France,Female,PhD,Married,Yes
100171,450,55,116,84181,1,1,1,0,0,76036,Spain,Female,Bachelor,Married,Yes
100172,780,28,137,36664,1,0,1,8,2,82450,Germany,Male,Master,Single,Yes
100173,811,71,105,73827,2,0,1,1,2,44358,Germany,Female,Master,Married,No
100174,480,73,115,36980,1,0,1,1,1,63480,France,Male,Master,Single,No
100175,606,39,161,8604,2,0,1,5,1,89648,France,Female,PhD,Married,No
100176,354,50,66,6661,3,0,0,6,4,91810,Germany,Female,Bachelor,Married,No
100177,567,53,30,10435,1,1,0,1,0,64502,France,Male,High School,Single,No
100178,604,62,74,21610,3,0,1,3,1,49368,France,Female,Bachelor,Married,Yes
100179,747,40,70,133342,2,1,1,2,2,80705,Spain,Male,Master,Single,No
100180,708,62,65,80392,3,0,1,4,0,70724,France,Female,Master,Single,No
100181,632,62,69,28352,3,0,0,8,1,70293,France,Male,High School,Single,No
100182,742,51,40,33970,3,1,0,1,4,75515,Spain,Female,High School,Single,No
100183,556,26,159,15436,4,1,1,4,4,40986,Spain,Male,Bachelor,Single,No
100184,364,41,19,60929,2,1,1,7,4,76943,France,Male,Bachelor,Married,No
100185,695,25,177,81168,2,1,0,5,4,63091,France,Male,High School,Single,Yes
100186,391,24,152,13650,2,1,1,3,2,82830,France,Male,Master,Single,No
100187,729,53,139,2136,2,0,0,9,4,60409,Germany,Male,High School,Divorced,Yes
100188,810,35,38,48894,2,1,0,7,3,71668,Germany,Male,Bachelor,Married,No
100189,528,20,144,41335,1,0,0,2,4,69147,France,Female,High School,Single,No
100190,412,45,44,25719,1,1,1,3,1,49081,Spain,Female,Master,Married,Yes
100191,701,23,138,51626,1,1,1,10,0,41965,Germany,Male,Bachelor,Married,No
100192,580,61,69,39994,3,1,0,8,1,76133,Germany,Male,Bachelor,Single,Yes
100193,590,61,124,14423,3,0,1,4,0,42863,Germany,Female,Bachelor,Single,No
100194,401,38,150,25352,2,1,0,5,2,53279,France,Male,High School,Divorced,Yes
100195,445,45,90,27941,4,0,1,11,0,52674,France,Female,PhD,Married,Yes
100196,737,57,69,106117,2,0,1,10,3,67342,France,Female,Master,Married,Yes
100197,571,71,165,162087,1,1,0,1,4,73515,France,Male,Master,Married,No
100198,834,71,129,111747,2,1,0,8,1,28868,Spain,Male,High School,Married,No
100199,756,18,83,63502,3,0,1,7,0,45497,France,Male,High School,Married,No
100200,580,53,88,43973,2,1,1,6,1,44556,France,Male,Bachelor,Married,No
100201,586,38,78,58440,1,1,0,8,4,55439,Spain,Female,High School,Married,Yes
100202,492,60,112,139934,2,0,1,4,2,20155,Spain,Female,Master,Single,No
100203,520,52,92,14384,3,1,1,4,4,82676,France,Male,Bachelor,Married,Yes
100204,378,30,71,38299,4,0,1,10,2,61208,Spain,Male,High School,Married,Yes
100205,385,74,164,58496,1,1,1,10,1,57314,France,Female,High School,Single,Yes
100206,362,66,48,56854,2,0,1,8,2,75099,France,Male,PhD,Married,Yes
100207,509,71,51,14536,3,1,1,10,2,70351,France,Female,PhD,Married,No
100208,676,71,32,44183,1,1,1,4,2,70135,France,Male,High School,Divorced,No
100209,536,27,21,79460,1,1,1,8,2,59687,France,Female,High School,Married,No
100210,592,70,113,32225,3,0,0,0,2,62094,France,Female,Bachelor,Single,Yes
100211,435,61,132,78824,2,1,1,9,0,76886,Spain,Female,High School,Single,Yes
100212,633,64,17,22305,2,1,0,9,2,70641,France,Female,Master,Single,No
100213,415,70,165,139648,2,1,0,10,2,94566,Germany,Male,Bachelor,Married,Yes
100214,519,27,117,38171,1,1,1,7,4,62803,Germany,Male,PhD,Married,No
100215,394,63,116,45311,4,0,1,2,4,73014,Spain,Female,Master,Married,No
100216,411,30,36,1593,1,1,0,7,4,57540,Spain,Female,Master,Married,Yes
100217,790,54,63,9333,2,1,1,4,2,66474,France,Female,Bachelor,Single,Yes
100218,483,55,137,50111,1,1,0,1,4,67516,Spain,Male,Master,Single,No
100219,633,41,78,27225,4,1,0,8,0,51122,Spain,Male,Bachelor,Divorced,Yes
100220,377,19,169,35480,1,0,0,3,1,47071,Spain,Male,High School,Married,No
100221,457,39,122,3252,3,0,1,6,4,72823,France,Male,Bachelor,Married,No
100222,393,34,175,89829,2,0,1,11,4,69088,France,Male,Bachelor,Married,No
100223,689,53,43,76741,2,1,1,7,0,89352,Germany,Female,PhD,Married,Yes
100224,635,31,81,10250,2,1,1,6,3,60091,Spain,Male,Bachelor,Married,No
100225,795,27,86,50301,1,1,1,10,3,40111,Spain,Male,High School,Single,Yes
100226,680,52,15,85274,1,1,1,5,0,60231,Spain,Male,High School,Married,No
100227,477,42,53,51201,1,1,0,11,4,75390,France,Male,Master,Married,No
100228,697,20,101,18582,2,1,1,6,1,17570,France,Female,PhD,Single,No
100229,822,64,162,53372,1,0,1,3,4,59877,France,Female,Bachelor,Divorced,No
100230,580,55,97,11815,2,1,0,9,0,73328,Germany,Female,High School,Single,No
100231,539,34,155,19155,1,1,0,0,0,64695,France,Male,High School,Married,No
100232,574,29,1,13726,2,1,1,4,2,52833,Germany,Female,Bachelor,Married,No
100233,734,71,93,40701,3,0,0,7,0,35946,Spain,Female,PhD,Married,No
100234,726,69,140,5727,1,1,1,9,2,59762,France,Male,Master,Single,Yes
100235,632,41,168,135385,2,1,0,5,0,35514,Spain,Female,Master,Married,Yes
100236,795,46,58,20287,3,1,1,4,2,73462,Spain,Male,Bachelor,Single,No
100237,470,60,68,12357,3,1,0,1,2,61225,Germany,Female,Master,Single,Yes
100238,465,42,118,34314,4,1,1,9,4,89900,Germany,Male,High School,Single,Yes
100239,810,53,91,16217,1,1,1,11,2,20934,Spain,Female,High School,Single,Yes
100240,582,43,44,38276,2,1,1,4,3,53201,Spain,Female,Master,Divorced,No
100241,608,55,147,21425,4,1,0,9,0,74668,Germany,Male,High School,Married,No
100242,708,18,23,7082,1,1,1,11,1,82853,Germany,Female,Bachelor,Single,No
100243,547,37,90,15455,3,1,1,2,0,75477,France,Male,Bachelor,Divorced,No
100244,805,72,93,28852,1,1,1,1,4,40938,France,Female,High School,Single,No
100245,760,45,57,1538,2,1,0,2,4,50376,Germany,Male,High School,Single,No
100246,486,33,154,73624,3,1,1,3,2,15285,Spain,Female,High School,Single,No
100247,667,64,153,48620,4,1,1,1,4,60909,France,Female,Master,Married,No
100248,514,34,127,45985,1,1,0,3,4,83266,France,Female,High School,Married,No
100249,574,57,6,39488,1,1,0,3,0,60141,Spain,Male,Bachelor,Single,Yes
100250,656,45,169,44618,4,1,0,5,3,71534,France,Male,Bachelor,Single,No
100251,583,29,46,136401,1,1,0,11,3,71001,Spain,Male,High School,Married,No
100252,521,44,52,430,1,0,1,4,2,53663,Germany,Female,High School,Married,No
100253,501,71,37,2449,1,1,1,6,4,11363,Germany,Male,Bachelor,Married,No
100254,812,70,52,10628,3,1,0,10,4,86818,Germany,Male,High School,Married,Yes
100255,664,59,142,9154,3,1,1,6,3,68640,France,Female,Bachelor,Married,No
100256,723,64,153,9995,2,1,1,2,2,34985,Spain,Male,PhD,Married,No
100257,509,47,47,55729,1,0,0,8,4,67418,Spain,Male,High School,Married,No
100258,445,58,94,30761,2,1,1,6,2,64001,Spain,Male,Master,Single,No
100259,821,51,146,240052,3,1,0,6,0,86222,France,Female,Bachelor,Single,No
100260,582,54,136,12866,1,1,1,1,4,69442,Spain,Male,Bachelor,Married,No
100261,529,23,63,18613,2,1,0,11,4,69513,France,Male,Master,Married,No
100262,462,24,92,207516,1,1,1,9,4,63987,Germany,Male,Bachelor,Single,No
100263,667,49,124,89118,1,1,0,2,3,44606,France,Female,High School,Married,No
100264,846,49,178,31725,4,1,1,2,3,73455,France,Male,High School,Single,No
100265,791,70,38,40439,2,0,1,11,4,59492,Germany,Female,Master,Single,No
100266,401,42,3,92632,3,0,0,5,4,40944,Germany,Male,High School,Single,Yes
100267,617,50,125,32791,2,1,1,3,0,46819,Germany,Female,Bachelor,Single,No
100268,644,72,2,11535,2,0,0,3,0,37277,France,Male,Bachelor,Married,Yes
100269,735,24,63,88142,2,0,1,0,2,81194,Germany,Male,High School,Single,No
100270,736,69,28,38585,4,0,0,5,2,99576,Spain,Female,Master,Married,Yes
100271,462,74,115,8305,1,1,1,7,3,83103,France,Female,Bachelor,Single,No
100272,450,29,10,35219,3,0,0,7,1,67525,France,Male,Bachelor,Married,Yes
100273,462,33,96,26654,4,0,0,7,0,58691,Spain,Male,Bachelor,Single,Yes
100274,789,33,101,104715,3,0,0,4,2,54181,France,Male,High School,Single,No
100275,430,60,154,6737,4,1,0,9,0,40274,France,Male,Bachelor,Married,Yes
100276,536,70,20,104056,1,1,1,5,0,98936,Spain,Male,Master,Married,No
100277,462,53,38,35894,3,0,0,4,1,39320,France,Male,Bachelor,Married,Yes
100278,351,30,101,25906,2,1,1,3,0,43011,Spain,Female,PhD,Single,Yes
100279,479,24,45,8835,4,1,1,11,1,56090,France,Female,High School,Married,No
100280,569,53,65,60335,3,1,0,3,1,57742,Germany,Female,PhD,Single,No
100281,403,64,90,130733,1,1,1,3,0,72041,France,Female,Bachelor,Married,Yes
100282,692,68,163,23530,3,1,1,3,0,46531,Germany,Male,Master,Single,No
100283,834,26,110,13826,4,0,1,5,2,20228,Germany,Female,High School,Married,No
100284,573,49,81,40469,1,1,1,5,0,55372,Germany,Female,Bachelor,Married,Yes
100285,574,28,122,79527,2,1,0,4,0,56719,Germany,Female,Master,Married,No
100286,734,25,98,189,4,1,0,11,0,55095,Spain,Female,Master,Divorced,No
100287,752,50,34,49899,4,1,1,10,2,54829,Spain,Male,High School,Divorced,No
100288,475,40,158,45381,1,1,1,10,1,52988,Spain,Female,High School,Married,Yes
100289,479,42,155,19147,4,1,1,8,2,33512,Germany,Female,Bachelor,Married,No
100290,402,73,102,30021,3,0,0,7,0,89244,France,Male,Master,Single,Yes
100291,521,25,128,14182,2,1,1,9,4,88112,Germany,Male,Bachelor,Single,No
100292,567,62,24,78005,3,1,1,5,0,87909,France,Female,Bachelor,Married,No
100293,509,39,42,50329,1,1,0,10,2,36289,Spain,Female,Master,Divorced,No
100294,547,21,83,38040,4,1,1,8,2,68076,Germany,Female,Bachelor,Married,No
100295,765,57,50,24922,2,0,1,4,3,51543,Spain,Male,Bachelor,Single,No
100296,596,20,129,17222,1,1,1,9,4,50456,Spain,Female,High School,Married,No
100297,673,46,125,86506,3,1,1,3,2,41427,Spain,Male,Bachelor,Single,No
100298,788,58,68,30020,4,0,1,5,1,111311,France,Male,Bachelor,Married,No
100299,552,46,8,34802,4,1,0,3,0,55025,Spain,Female,High School,Single,Yes
100300,533,51,1,36785,1,1,1,7,1,41560,Spain,Female,Bachelor,Single,No
100301,472,51,161,29744,3,1,0,6,2,62764,Spain,Male,High School,Single,No
100302,750,45,158,14792,4,1,1,4,2,75263,France,Male,High School,Married,No
100303,604,30,9,6411,3,1,1,9,1,57173,France,Male,Bachelor,Married,No
100304,643,32,113,5187,2,1,1,5,1,64885,France,Male,Bachelor,Single,No
100305,629,40,75,70830,4,1,0,10,3,80038,Spain,Male,High School,Married,Yes
100306,674,61,163,12650,2,1,1,6,0,40908,Spain,Male,High School,Married,Yes
100307,721,43,84,2864,4,1,0,1,1,63556,France,Female,Bachelor,Divorced,No
100308,447,21,48,79855,1,0,0,8,0,47220,Spain,Female,High School,Married,Yes
100309,547,43,69,8365,4,0,1,6,4,44513,Spain,Female,Bachelor,Single,No
100310,819,57,176,49061,4,1,1,7,2,95039,Germany,Female,PhD,Single,Yes
100311,744,26,130,20673,3,0,1,4,1,58212,France,Male,Bachelor,Single,No
100312,589,72,132,6761,3,1,1,2,4,38762,France,Male,High School,Married,No
100313,493,22,89,26763,2,1,0,1,2,57769,Spain,Female,High School,Married,No
100314,446,73,25,746,2,1,0,1,3,35810,France,Female,High School,Single,No
100315,550,49,71,91957,2,0,1,2,2,55651,Spain,Female,High School,Divorced,No
100316,473,37,4,36026,4,0,1,0,1,46430,France,Female,High School,Married,Yes
100317,536,67,14,7492,4,0,1,0,4,70219,Germany,Female,High School,Married,No
100318,675,28,122,13524,2,1,1,6,4,98742,Germany,Male,Master,Married,No
100319,813,32,143,29708,1,1,0,9,4,56501,Germany,Male,Master,Married,Yes
100320,698,49,0,10466,1,0,1,11,2,47182,Germany,Female,Bachelor,Married,Yes
100321,608,45,143,15640,4,1,1,10,0,61820,France,Female,High School,Married,No
100322,497,39,164,38220,1,1,0,7,0,89826,France,Female,Master,Single,No
100323,601,58,2,89371,1,1,1,5,2,70327,Germany,Female,High School,Married,No
100324,792,34,179,25695,2,0,1,6,1,57179,France,Female,High School,Single,No
100325,769,43,46,63111,1,1,1,0,2,18672,France,Female,High School,Married,No
100326,752,61,94,104650,1,1,0,0,0,58953,Germany,Female,Bachelor,Married,No
100327,695,24,12,12187,4,1,1,8,2,75531,France,Female,Bachelor,Single,No
100328,800,59,119,82303,4,0,0,4,4,79150,Spain,Male,High School,Single,Yes
100329,496,74,54,70818,4,0,0,6,1,86217,Germany,Female,High School,Single,Yes
100330,497,43,148,22076,1,1,1,5,1,46510,Germany,Female,Master,Single,Yes
100331,701,42,65,227914,2,0,0,3,3,51939,Spain,Female,Bachelor,Married,No
100332,548,27,154,15229,3,1,0,0,2,57596,Spain,Male,High School,Divorced,No
100333,657,62,165,14705,4,1,1,3,4,74193,France,Female,Bachelor,Single,No
100334,838,36,89,73977,4,1,1,9,2,54737,France,Male,High School,Single,No
